88games>'88 Games>1988>AAMA - Green (Suitable For All Ages)>Konami>>Sports/Track & Field
flagrall>'96 Flag Rally>1996>AAMA - Green (Suitable For All Ages)>Promat?>>Driving
99lstwark>'99: The Last War (Kyugo)>1985>AAMA - Green (Suitable For All Ages)>Crux / Kyugo>>Shoot-'Em-Up
99lstwar>'99: The Last War (set 1)>1985>AAMA - Green (Suitable For All Ages)>Crux / Proma>>Shoot-'Em-Up
99lstwara>'99: The Last War (set 2)>1985>AAMA - Green (Suitable For All Ages)>Crux / Proma>>Shoot-'Em-Up
005>005>1981>AAMA - Green (Suitable For All Ages)>Sega>>Maze
1on1gov>1 on 1 Government (Japan)>2000>AAMA - Green (Suitable For All Ages)>Tecmo>>Sports/Basketball
gtmro>1000 Miglia: Great 1000 Miles Rally (94/05/10)>1994>AAMA - Green (Suitable For All Ages)>Kaneko>>Driving
gtmrb>1000 Miglia: Great 1000 Miles Rally (94/05/26)>1994>AAMA - Green (Suitable For All Ages)>Kaneko>>Driving
gtmra>1000 Miglia: Great 1000 Miles Rally (94/06/13)>1994>AAMA - Green (Suitable For All Ages)>Kaneko>>Driving
gtmr>1000 Miglia: Great 1000 Miles Rally (94/07/18)>1994>AAMA - Green (Suitable For All Ages)>Kaneko>>Driving
10yardj>10-Yard Fight (Japan)>1983>AAMA - Green (Suitable For All Ages)>Irem>>Sports/Football
10yard>10-Yard Fight (World, set 1)>1983>AAMA - Green (Suitable For All Ages)>Irem>>Sports/Football
10yard85>10-Yard Fight '85 (US, Taito license)>1985>AAMA - Green (Suitable For All Ages)>Irem (Taito license)>>Sports/Football
cprogolf18>18 Challenge Pro Golf (DECO Cassette, Japan)>1982>AAMA - Green (Suitable For All Ages)>Data East Corporation>>Sports/Golf
progolf>18 Holes Pro Golf (set 1)>1981>AAMA - Green (Suitable For All Ages)>Data East Corporation>>Sports/Golf
1941j>1941: Counter Attack (Japan)>1990>AAMA - Green (Suitable For All Ages)>Capcom>>Shoot-'Em-Up
1941u>1941: Counter Attack (USA 900227)>1990>AAMA - Green (Suitable For All Ages)>Capcom>>Shoot-'Em-Up
1941>1941: Counter Attack (World 900227)>1990>AAMA - Green (Suitable For All Ages)>Capcom>>Shoot-'Em-Up
1941r1>1941: Counter Attack (World)>1990>AAMA - Green (Suitable For All Ages)>Capcom>>Shoot-'Em-Up
1942b>1942 (First Version)>1984>AAMA - Green (Suitable For All Ages)>Capcom>>Shoot-'Em-Up
pc_1942>1942 (PlayChoice-10)>1987>AAMA - Green (Suitable For All Ages)>Capcom>>Shoot-'Em-Up
1942a>1942 (Revision A)>1984>AAMA - Green (Suitable For All Ages)>Capcom>>Shoot-'Em-Up
1942abl>1942 (Revision A, bootleg)>1984>AAMA - Green (Suitable For All Ages)>bootleg>>Shoot-'Em-Up
1942>1942 (Revision B)>1984>AAMA - Green (Suitable For All Ages)>Capcom>>Shoot-'Em-Up
1942p>1942 (Tecfri PCB, bootleg?)>1984>AAMA - Green (Suitable For All Ages)>bootleg>>Shoot-'Em-Up
1942w>1942 (Williams Electronics license)>1985>AAMA - Green (Suitable For All Ages)>Capcom (Williams Electronics license)>>Shoot-'Em-Up
1943kai>1943 Kai: Midway Kaisen (Japan)>1987>AAMA - Green (Suitable For All Ages)>Capcom>>Shoot-'Em-Up
1943b>1943: Battle of Midway (bootleg, hack of Japan set)>1987>AAMA - Green (Suitable For All Ages)>bootleg>>Shoot-'Em-Up
1943bj>1943: Midway Kaisen (bootleg)>1987>AAMA - Green (Suitable For All Ages)>bootleg>>Shoot-'Em-Up
1943ja>1943: Midway Kaisen (Japan)>1987>AAMA - Green (Suitable For All Ages)>Capcom>>Shoot-'Em-Up
1943j>1943: Midway Kaisen (Japan, Rev B)>1987>AAMA - Green (Suitable For All Ages)>Capcom>>Shoot-'Em-Up
1943>1943: The Battle of Midway (Euro)>1987>AAMA - Green (Suitable For All Ages)>Capcom>>Shoot-'Em-Up
1943ua>1943: The Battle of Midway (US)>1987>AAMA - Green (Suitable For All Ages)>Capcom>>Shoot-'Em-Up
1943u>1943: The Battle of Midway (US, Rev C)>1987>AAMA - Green (Suitable For All Ages)>Capcom>>Shoot-'Em-Up
1944j>1944: The Loop Master (Japan 000620)>2000>AAMA - Green (Suitable For All Ages)>Eighting / Raizing (Capcom license)>>Shoot-'Em-Up
1944d>1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)>2000>AAMA - Green (Suitable For All Ages)>bootleg>>Shoot-'Em-Up
1944>1944: The Loop Master (USA 000620)>2000>AAMA - Green (Suitable For All Ages)>Eighting / Raizing (Capcom license)>>Shoot-'Em-Up
