Galaxy Wars & Hangman (19xx)(-)[translated]>Galaxy Wars & Hangman>>Other - NR (Not Rated)
Invaders v1.1 (19xx)(-)[translated]>Invaders v1.1>>Other - NR (Not Rated)
Tank v1.2 (19xx)(-)[translated][tape2rom]>Tank v1.2>>Other - NR (Not Rated)
